date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-22,Serbia,44.0165,21.0059,0,0,0,0,0.0,0.0,87.3737
2020-01-22,Seychelles,-4.6796,55.492,0,0,0,0,0.0,0.0,0.9834
2020-01-22,Sierra Leone,8.460555000000001,-11.779889,0,0,0,0,0.0,0.0,79.76985
2020-01-22,Singapore,1.2833,103.8333,0,0,0,0,0.0,0.0,58.50343
2020-01-22,Slovakia,48.669,19.699,0,0,0,0,0.0,0.0,54.59643
2020-01-22,Slovenia,46.1512,14.9955,0,0,0,0,0.0,0.0,20.78932
2020-01-22,Somalia,5.1521,46.1996,0,0,0,0,0.0,0.0,158.93219
2020-01-22,South Africa,-30.5595,22.9375,0,0,0,0,0.0,0.0,593.0869
2020-01-22,South Korea,36.0,128.0,1,0,0,1,100.0,100.0,512.69183
2020-01-22,South Sudan,6.8770000000000024,31.307,0,0,0,0,0.0,0.0,111.93729
2020-01-22,Spain,40.0,-4.0,0,0,0,0,0.0,0.0,467.54782
2020-01-22,Sri Lanka,7.0,81.0,0,0,0,0,0.0,0.0,214.1325
2020-01-22,Sudan,12.8628,30.2176,0,0,0,0,0.0,0.0,438.49269
2020-01-22,Suriname,3.9193,-56.0278,0,0,0,0,0.0,0.0,5.86634
2020-01-22,Sweden,63.0,16.0,0,0,0,0,0.0,0.0,100.9927
2020-01-22,Switzerland,46.8182,8.2275,0,0,0,0,0.0,0.0,86.54618
2020-01-22,Syria,34.802075,38.996815,0,0,0,0,0.0,0.0,175.00657
2020-01-22,Taiwan,23.7,121.0,1,0,0,1,100.0,100.0,238.16775
2020-01-22,Tajikistan,38.861034000000004,71.276093,0,0,0,0,0.0,0.0,95.37642
2020-01-22,Tanzania,-6.369,34.8888,0,0,0,0,0.0,0.0,597.34212
2020-01-22,Thailand,15.0,101.0,2,0,0,2,100.0,100.0,697.99978
2020-01-22,Timor-Leste,-8.8742,125.7275,0,0,0,0,0.0,0.0,13.18442
2020-01-22,Togo,8.6195,0.8248,0,0,0,0,0.0,0.0,82.78736
2020-01-22,Trinidad and Tobago,10.6918,-61.2225,0,0,0,0,0.0,0.0,13.99491
2020-01-22,Tunisia,34.0,9.0,0,0,0,0,0.0,0.0,118.18618
2020-01-22,Turkey,38.9637,35.2433,0,0,0,0,0.0,0.0,843.39067
2020-01-22,US,39.810489,-98.555759,1,0,0,1,100.0,100.0,3310.02647
2020-01-22,Uganda,1.0,32.0,0,0,0,0,0.0,0.0,457.41
2020-01-22,Ukraine,48.3794,31.1656,0,0,0,0,0.0,0.0,437.33759
2020-01-22,United Arab Emirates,24.0,54.0,0,0,0,0,0.0,0.0,98.904
2020-01-22,United Kingdom,55.3781,-3.436,0,0,0,0,0.0,0.0,678.86004
2020-01-22,Uruguay,-32.5228,-55.7658,0,0,0,0,0.0,0.0,34.73727
2020-01-22,Uzbekistan,41.3775,64.5853,0,0,0,0,0.0,0.0,334.69199
2020-01-22,Venezuela,6.4238,-66.5897,0,0,0,0,0.0,0.0,284.35943
2020-01-22,Vietnam,16.0,108.0,0,0,0,0,0.0,0.0,973.38583
2020-01-22,West Bank and Gaza,31.9522,35.2332,0,0,0,0,0.0,0.0,
2020-01-22,Western Sahara,24.2155,-12.8858,0,0,0,0,0.0,0.0,5.9733
2020-01-22,Yemen,15.552726999999999,48.516388,0,0,0,0,0.0,0.0,298.25967
2020-01-22,Zambia,-15.4167,28.2833,0,0,0,0,0.0,0.0,183.83956
2020-01-22,Zimbabwe,-20.0,30.0,0,0,0,0,0.0,0.0,148.62927
2020-01-23,Afghanistan,33.0,65.0,0,0,0,0,0.0,0.0,389.28341
2020-01-23,Albania,41.1533,20.1683,0,0,0,0,0.0,0.0,28.778
2020-01-23,Algeria,28.0339,1.6596,0,0,0,0,0.0,0.0,438.51043
2020-01-23,Andorra,42.5063,1.5218,0,0,0,0,0.0,0.0,0.77265
2020-01-23,Angola,-11.2027,17.8739,0,0,0,0,0.0,0.0,328.66267
2020-01-23,Antigua and Barbuda,17.0608,-61.7964,0,0,0,0,0.0,0.0,0.97928
2020-01-23,Argentina,-38.4161,-63.6167,0,0,0,0,0.0,0.0,451.95777
2020-01-23,Armenia,40.0691,45.0382,0,0,0,0,0.0,0.0,29.63234
2020-01-23,Australia,-31.9961875,141.2327875,0,0,0,0,0.0,0.0,254.99881
2020-01-23,Austria,47.5162,14.5501,0,0,0,0,0.0,0.0,90.064
2020-01-23,Azerbaijan,40.1431,47.5769,0,0,0,0,0.0,0.0,101.39175
2020-01-23,Bahamas,25.0343,-77.3963,0,0,0,0,0.0,0.0,3.93248
2020-01-23,Bahrain,26.0275,50.55,0,0,0,0,0.0,0.0,17.01582
2020-01-23,Bangladesh,23.685,90.3563,0,0,0,0,0.0,0.0,1646.89383
2020-01-23,Barbados,13.1939,-59.5432,0,0,0,0,0.0,0.0,2.87371
2020-01-23,Belarus,53.7098,27.9534,0,0,0,0,0.0,0.0,94.49321
2020-01-23,Belgium,50.8333,4.0,0,0,0,0,0.0,0.0,115.89616
2020-01-23,Belize,13.1939,-59.5432,0,0,0,0,0.0,0.0,3.97621
2020-01-23,Benin,9.3077,2.3158,0,0,0,0,0.0,0.0,121.23198
2020-01-23,Bhutan,27.5142,90.4336,0,0,0,0,0.0,0.0,7.71612
2020-01-23,Bolivia,-16.2902,-63.5887,0,0,0,0,0.0,0.0,116.73028
2020-01-23,Bosnia and Herzegovina,43.9159,17.6791,0,0,0,0,0.0,0.0,32.80815
2020-01-23,Botswana,-22.3285,24.6849,0,0,0,0,0.0,0.0,23.51625
2020-01-23,Brazil,-14.235,-51.9253,0,0,0,0,0.0,0.0,2125.59409
2020-01-23,Brunei,4.5353,114.7277,0,0,0,0,0.0,0.0,4.37483
2020-01-23,Bulgaria,42.7339,25.4858,0,0,0,0,0.0,0.0,69.48445
2020-01-23,Burkina Faso,12.2383,-1.5616,0,0,0,0,0.0,0.0,209.03278
2020-01-23,Burma,21.9162,95.956,0,0,0,0,0.0,0.0,544.09794
2020-01-23,Burundi,-3.3731,29.9189,0,0,0,0,0.0,0.0,118.90781
2020-01-23,Cabo Verde,16.5388,-23.0418,0,0,0,0,0.0,0.0,5.55988
2020-01-23,Cambodia,11.55,104.9167,0,0,0,0,0.0,0.0,167.18971
2020-01-23,Cameroon,3.8480000000000003,11.5021,0,0,0,0,0.0,0.0,265.45863
2020-01-23,Canada,56.1304,-106.3468,0,0,0,0,0.0,0.0,377.42157
2020-01-23,Central African Republic,6.6111,20.9394,0,0,0,0,0.0,0.0,48.29764
2020-01-23,Chad,15.4542,18.7322,0,0,0,0,0.0,0.0,164.25859
2020-01-23,Chile,-35.6751,-71.543,0,0,0,0,0.0,0.0,191.16209
2020-01-23,China,32.82838484848485,111.64908181818183,643,18,30,595,100.0,100.0,14393.23774
2020-01-23,Colombia,4.5709,-74.2973,0,0,0,0,0.0,0.0,508.82884
2020-01-23,Comoros,-11.6455,43.3333,0,0,0,0,0.0,0.0,8.69595
2020-01-23,Congo (Brazzaville),-4.0383,21.7587,0,0,0,0,0.0,0.0,55.18092
2020-01-23,Congo (Kinshasa),-4.0383,21.7587,0,0,0,0,0.0,0.0,895.61404
2020-01-23,Costa Rica,9.7489,-83.7534,0,0,0,0,0.0,0.0,50.94114
2020-01-23,Cote d'Ivoire,7.54,-5.5471,0,0,0,0,0.0,0.0,263.78275
2020-01-23,Croatia,45.1,15.2,0,0,0,0,0.0,0.0,41.05268
2020-01-23,Cuba,22.0,-80.0,0,0,0,0,0.0,0.0,113.26616
2020-01-23,Cyprus,35.1264,33.4299,0,0,0,0,0.0,0.0,12.07361
2020-01-23,Czechia,49.8175,15.472999999999999,0,0,0,0,0.0,0.0,107.08982
2020-01-23,Denmark,56.2639,9.5018,0,0,0,0,0.0,0.0,57.92203
2020-01-23,Diamond Princess,0.0,0.0,0,0,0,0,0.0,0.0,
