date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-03-29,Saskatchewan,156,0,0,52.9399,-106.4509,156
2020-03-29,Yukon,4,0,0,64.2823,-135.0,4
2020-03-30,Alberta,661,3,0,53.9333,-116.5765,658
2020-03-30,Manitoba,96,1,0,53.7609,-98.8139,95
2020-03-30,New Brunswick,68,0,0,46.5653,-66.4619,68
2020-03-30,Nova Scotia,127,0,0,44.681999999999995,-63.7443,127
2020-03-30,Ontario,1706,31,0,51.2538,-85.3232,1675
2020-03-30,Quebec,3430,22,0,52.9399,-73.5491,3408
2020-03-30,Saskatchewan,156,2,0,52.9399,-106.4509,154
2020-03-30,Yukon,4,0,0,64.2823,-135.0,4
2020-03-31,Alberta,690,8,0,53.9333,-116.5765,682
2020-03-31,Manitoba,103,1,0,53.7609,-98.8139,102
2020-03-31,New Brunswick,70,0,0,46.5653,-66.4619,70
2020-03-31,Nova Scotia,147,0,0,44.682,-63.7443,147
2020-03-31,Ontario,1966,33,0,51.2538,-85.3232,1933
2020-03-31,Quebec,4162,31,0,52.9399,-73.5491,4131
2020-03-31,Saskatchewan,184,2,0,52.9399,-106.4509,182
2020-03-31,Yukon,5,0,0,64.2823,-135.0,5
2020-04-01,Alberta,754,9,0,53.9333,-116.5765,745
2020-04-01,Manitoba,127,1,0,53.7609,-98.8139,126
2020-04-01,New Brunswick,81,0,0,46.5653,-66.4619,81
2020-04-01,Nova Scotia,173,0,0,44.682,-63.7443,173
2020-04-01,Ontario,2392,37,0,51.2538,-85.3232,2355
2020-04-01,Quebec,4611,33,0,52.9399,-73.5491,4578
2020-04-01,Saskatchewan,193,3,0,52.9399,-106.4509,190
2020-04-01,Yukon,5,0,0,64.2823,-135.0,5
2020-04-02,Alberta,969,13,0,53.9333,-116.5765,956
2020-04-02,Manitoba,167,1,0,53.7609,-98.8139,166
2020-04-02,New Brunswick,91,0,0,46.5653,-66.4619,91
2020-04-02,Nova Scotia,193,0,0,44.681999999999995,-63.7443,193
2020-04-02,Ontario,2793,53,0,51.2538,-85.3232,2740
2020-04-02,Quebec,5518,36,0,52.9399,-73.5491,5482
2020-04-02,Saskatchewan,206,3,0,52.9399,-106.4509,203
2020-04-02,Yukon,6,0,0,64.2823,-135.0,6
2020-04-03,Alberta,969,13,0,53.9333,-116.5765,956
2020-04-03,Manitoba,182,2,0,53.7609,-98.8139,180
2020-04-03,New Brunswick,91,0,0,46.5653,-66.4619,91
2020-04-03,Nova Scotia,207,0,0,44.682,-63.7443,207
2020-04-03,Ontario,3255,67,0,51.2538,-85.3232,3188
2020-04-03,Quebec,6101,61,0,52.9399,-73.5491,6040
2020-04-03,Saskatchewan,220,3,0,52.9399,-106.4509,217
2020-04-03,Yukon,6,0,0,64.2823,-135.0,6
2020-04-04,Alberta,1075,18,0,53.9333,-116.5765,1057
2020-04-04,Manitoba,182,2,0,53.7609,-98.8139,180
2020-04-04,New Brunswick,91,0,0,46.5653,-66.4619,91
2020-04-04,Nova Scotia,236,0,0,44.681999999999995,-63.7443,236
2020-04-04,Ontario,3630,94,0,51.2538,-85.3232,3536
2020-04-04,Quebec,6101,61,0,52.9399,-73.5491,6040
2020-04-04,Saskatchewan,220,3,0,52.9399,-106.4509,217
2020-04-04,Yukon,6,0,0,64.2823,-135.0,6
2020-04-05,Alberta,1181,20,0,53.9333,-116.5765,1161
2020-04-05,Manitoba,203,2,0,53.7609,-98.8139,201
2020-04-05,New Brunswick,98,0,0,46.5653,-66.4619,98
2020-04-05,Nova Scotia,262,0,0,44.682,-63.7443,262
2020-04-05,Ontario,4354,119,0,51.2538,-85.3232,4235
2020-04-05,Quebec,7944,75,0,52.9399,-73.5491,7869
2020-04-05,Saskatchewan,249,3,0,52.9399,-106.4509,246
2020-04-05,Yukon,6,0,0,64.2823,-135.0,6
2020-04-06,Alberta,1250,23,0,53.9333,-116.5765,1227
2020-04-06,Manitoba,203,2,0,53.7609,-98.8139,201
2020-04-06,New Brunswick,103,0,0,46.5653,-66.4619,103
2020-04-06,Nova Scotia,293,0,0,44.681999999999995,-63.7443,293
2020-04-06,Ontario,4347,150,0,51.2538,-85.3232,4197
2020-04-06,Quebec,8580,121,0,52.9399,-73.5491,8459
2020-04-06,Saskatchewan,249,3,0,52.9399,-106.4509,246
2020-04-06,Yukon,6,0,0,64.2823,-135.0,6
2020-04-07,Alberta,1373,24,0,53.9333,-116.5765,1349
2020-04-07,Manitoba,217,3,0,53.7609,-98.8139,214
2020-04-07,New Brunswick,105,0,0,46.5653,-66.4619,105
2020-04-07,Nova Scotia,310,1,0,44.682,-63.7443,309
2020-04-07,Ontario,4726,153,0,51.2538,-85.3232,4573
2020-04-07,Quebec,9340,150,0,52.9399,-73.5491,9190
2020-04-07,Saskatchewan,260,3,0,52.9399,-106.4509,257
2020-04-07,Yukon,7,0,0,64.2823,-135.0,7
2020-04-08,Alberta,1373,26,0,53.9333,-116.5765,1347
2020-04-08,Manitoba,217,3,0,53.7609,-98.8139,214
2020-04-08,New Brunswick,105,0,0,46.5653,-66.4619,105
2020-04-08,Nova Scotia,310,1,0,44.682,-63.7443,309
2020-04-08,Ontario,5276,153,0,51.2538,-85.3232,5123
2020-04-08,Quebec,10031,175,0,52.9399,-73.5491,9856
2020-04-08,Saskatchewan,260,3,0,52.9399,-106.4509,257
2020-04-08,Yukon,7,0,0,64.2823,-135.0,7
2020-04-09,Alberta,1423,29,0,53.9333,-116.5765,1394
